#{"t_start": 1708701891.718752, "env_id": "CustomHopper-source-v0"}
r,l,t
256.938457,113,53.580456
92.952557,54,53.647639
259.250927,107,53.77692
298.215912,118,53.918483
238.537256,108,54.040658
298.732354,116,54.17736
239.637058,110,54.310753
198.501223,87,54.41089
292.247455,116,54.547385
293.366664,136,56.843857
325.895197,120,56.999556
215.478214,94,57.125916
136.961282,71,57.233098
272.729826,117,57.386019
326.75189,128,57.552536
300.910981,117,57.732498
259.213583,113,57.878865
293.802476,117,58.055849
246.042791,100,58.22486
304.801821,120,58.38502
267.592971,108,58.51844
275.991003,109,58.649207
271.382493,110,58.787694
310.753293,117,58.922467
287.802956,132,59.070148
273.054958,111,59.231916
277.037385,114,59.362316
280.595864,112,61.548749
222.394839,95,61.660018
292.528006,120,61.812369
278.851317,111,61.952111
289.236329,112,62.077789
313.840822,123,62.228386
328.418862,126,62.386352
217.80549,99,62.53867
296.324685,117,62.706614
241.741426,100,62.824396
232.332954,101,62.956084
286.869243,115,63.089684
114.89372,61,63.164398
239.600082,99,63.289899
278.599487,112,63.437101
297.083752,118,63.577317
294.776061,112,63.744844
250.539763,104,63.912509
312.673386,120,64.072144
297.898205,121,66.296218
55.853745,35,66.335784
344.728155,128,66.477556
362.184054,130,66.639476
322.236703,126,66.785628
331.477099,126,66.982469
333.068726,125,67.150465
301.467312,119,67.2851
349.113774,128,67.41629
318.293312,120,67.551005
307.769317,121,67.651949
302.456103,115,67.7823
323.554625,128,67.904939
278.426574,112,68.032382
284.108807,111,68.172481
296.162094,117,68.302742
209.533112,91,68.400428
278.860717,109,68.497354
321.785305,121,70.288374
303.756093,124,70.42292
244.941752,100,70.516158
283.035547,113,70.628667
318.105989,122,70.73018
49.630891,31,70.755795
276.854913,108,70.853509
315.26981,121,70.948515
352.75803,128,71.051108
311.815502,120,71.148515
331.922465,121,71.255728
307.775669,119,71.357187
299.434672,114,71.481614
330.266192,120,71.617371
323.326369,122,71.741829
344.050397,128,71.941186
345.300421,128,72.238653
174.947819,77,72.385319
317.771944,120,74.75076
332.944827,123,74.903916
307.732456,128,75.072668
305.983361,125,75.241293
312.784397,118,75.406323
324.868104,120,75.559443
315.593092,121,75.70645
307.877244,118,75.853822
329.808268,127,76.019636
283.762439,113,76.159374
300.300411,123,76.355774
315.402706,124,76.558687
324.775808,123,76.728903
242.001909,103,76.865046
328.68196,122,77.026672
310.022173,119,77.167876
271.000499,108,77.304765
332.648432,127,79.595889
302.598022,119,79.734829
291.120077,120,79.87561
264.834443,111,80.000231
293.886818,114,80.133559
284.024213,112,80.293067
294.88204,118,80.443317
288.191168,112,80.615769
320.401749,124,80.768654
164.15434,76,80.864108
323.715026,124,81.008264
326.659471,124,81.178808
282.009318,111,81.322977
290.838961,120,81.51122
300.214755,121,81.658955
307.164153,119,81.801022
274.120857,111,81.942807
167.085422,77,82.031749
275.11134,112,82.161236
321.259647,125,84.338048
352.750893,134,84.522525
322.868237,127,84.699508
300.047957,137,84.900449
321.247288,120,85.038371
326.827669,134,85.190314
342.893537,134,85.348957
209.282988,89,85.456434
235.674089,105,85.589084
184.121289,85,85.709335
276.578344,116,85.889491
326.52749,135,86.072299
194.694886,89,86.175234
347.412518,139,86.346796
340.006135,135,86.504777
193.482218,86,86.633973
315.004643,134,86.90454
309.49903,123,89.250908
354.9692,132,89.44157
295.436531,118,89.59866
216.283101,97,89.736676
373.47644,140,89.905703
514.652466,183,90.109218
297.393822,124,90.269803
315.263347,123,90.445106
306.106895,126,90.591573
343.404744,136,90.756616
335.838344,133,90.915041
300.564063,123,91.082573
337.249571,130,91.233279
319.381726,136,91.394577
343.703122,136,91.55815
347.724159,129,93.762849
346.576773,127,93.914111
303.590866,122,94.052271
305.212608,115,94.180766
343.595957,132,94.334668
327.05531,132,94.489022
372.998796,141,94.650025
336.962797,139,94.848233
331.349062,136,95.013562
353.103824,136,95.181247
457.204387,160,95.4226
353.606064,133,95.67276
341.592312,133,95.905582
355.72091,133,96.104713
381.016708,144,96.318855
333.658658,134,96.505971
316.199952,133,98.858249
329.092444,129,99.012054
383.122737,146,99.212976
326.392665,125,99.401253
310.587157,122,99.578204
398.66928,151,99.762293
363.979309,138,99.925756
392.841013,150,100.122739
403.370972,152,100.339608
384.419284,150,100.550928
325.992639,130,100.782444
367.557746,139,101.008059
349.07105,133,101.196632
491.548094,185,101.438823
340.867287,149,103.757622
321.611195,129,103.972069
354.021017,134,104.182292
358.10283,131,104.362302
243.039155,106,104.502234
372.087909,137,104.719615
347.105863,131,104.935266
190.718794,89,105.0356
357.897958,129,105.182273
216.311128,98,105.306196
351.546832,135,105.49842
364.533997,135,105.69971
334.946034,123,105.867682
337.384602,128,106.051666
321.266452,123,106.20974
362.946932,133,106.377486
380.838857,135,108.882029
343.31608,133,109.118379
392.607194,142,109.377572
332.425359,130,109.576156
398.46169,140,109.756182
330.766608,133,109.939585
337.244504,123,110.090878
380.646947,138,110.290809
346.228415,135,110.529494
353.117632,127,110.681019
353.955712,136,110.850884
389.603098,139,111.024348
382.774279,141,111.185815
375.150992,138,111.358613
395.469458,145,111.581495
342.679081,131,111.776383
400.018641,146,114.563502
344.871044,129,114.912126
510.977448,172,115.19993
369.390461,132,115.364461
330.176554,126,115.546686
356.925037,135,115.755954
303.982648,134,115.944832
531.506806,193,116.241721
340.937434,124,116.399438
341.073536,130,116.559166
371.066361,142,116.727674
339.615656,128,116.89412
469.90306,169,117.14417
336.551924,131,117.346759
506.457175,182,119.659653
537.491367,208,119.969483
339.900169,137,120.134598
536.674752,188,120.40639
430.012065,153,120.641494
550.949822,185,120.895474
365.933242,130,121.055642
507.818377,187,121.289069
527.750983,200,121.530389
574.717172,212,121.778363
659.063795,219,122.034335
355.259921,128,124.489623
378.488118,143,124.683079
388.361196,137,124.856004
327.341999,133,125.01682
618.320298,201,125.296437
608.415867,204,125.571947
369.260575,138,125.790266
391.602716,143,126.004402
