mass1,mass2,mass3
6.7459917068481445,2.336760997772217,7.57130241394043
6.7459917068481445,2.336760997772217,7.57130241394043
2.170107364654541,7.326592922210693,2.5663723945617676
2.170107364654541,7.326592922210693,2.5663723945617676
6.204949378967285,6.259064674377441,5.409011363983154
6.204949378967285,6.259064674377441,5.409011363983154
6.525125503540039,9.402617454528809,9.505322456359863
6.525125503540039,9.402617454528809,9.505322456359863
6.923845291137695,3.7954421043395996,1.2470080852508545
6.923845291137695,3.7954421043395996,1.2470080852508545
8.28473949432373,6.687783718109131,7.3932600021362305
8.28473949432373,6.687783718109131,7.3932600021362305
9.697819709777832,7.933568000793457,9.617753982543945
9.697819709777832,7.933568000793457,9.617753982543945
7.712831497192383,1.7782260179519653,4.353822708129883
7.712831497192383,1.7782260179519653,4.353822708129883
7.107290267944336,1.0243488550186157,2.227860450744629
7.107290267944336,1.0243488550186157,2.227860450744629
5.91018009185791,9.63308334350586,9.304165840148926
5.91018009185791,9.63308334350586,9.304165840148926
6.853105545043945,8.149103164672852,3.0292375087738037
6.853105545043945,8.149103164672852,3.0292375087738037
3.3903634548187256,8.740894317626953,7.424330711364746
3.3903634548187256,8.740894317626953,7.424330711364746
9.500021934509277,3.940457344055176,2.382479667663574
9.500021934509277,3.940457344055176,2.382479667663574
8.72469711303711,8.03860855102539,7.0785298347473145
8.72469711303711,8.03860855102539,7.0785298347473145
3.3954532146453857,4.858532428741455,9.147235870361328
3.3954532146453857,4.858532428741455,9.147235870361328
6.239733695983887,3.758962631225586,9.69517707824707
6.239733695983887,3.758962631225586,9.69517707824707
3.792055130004883,3.87005352973938,6.888449668884277
3.792055130004883,3.87005352973938,6.888449668884277
7.410792350769043,9.985595703125,1.5497828722000122
7.410792350769043,9.985595703125,1.5497828722000122
8.606148719787598,6.468212127685547,4.662115097045898
8.606148719787598,6.468212127685547,4.662115097045898
6.865272521972656,3.0618679523468018,1.2423866987228394
6.865272521972656,3.0618679523468018,1.2423866987228394
9.099337577819824,4.039749622344971,7.963227272033691
9.099337577819824,4.039749622344971,7.963227272033691
3.2421369552612305,2.050687551498413,8.647424697875977
3.2421369552612305,2.050687551498413,8.647424697875977
4.006840705871582,1.3427278995513916,6.566190719604492
4.006840705871582,1.3427278995513916,6.566190719604492
2.3075602054595947,6.694647312164307,9.774409294128418
2.3075602054595947,6.694647312164307,9.774409294128418
7.919511795043945,6.118566513061523,9.406447410583496
7.919511795043945,6.118566513061523,9.406447410583496
8.027271270751953,1.6112443208694458,6.527312278747559
8.027271270751953,1.6112443208694458,6.527312278747559
8.470834732055664,1.6396210193634033,5.446695327758789
8.470834732055664,1.6396210193634033,5.446695327758789
3.887455940246582,9.565430641174316,9.575352668762207
3.887455940246582,9.565430641174316,9.575352668762207
2.1390857696533203,9.519299507141113,2.931885242462158
2.1390857696533203,9.519299507141113,2.931885242462158
2.6795058250427246,1.16973876953125,1.554432988166809
2.6795058250427246,1.16973876953125,1.554432988166809
2.054163932800293,7.359736919403076,3.732330322265625
2.054163932800293,7.359736919403076,3.732330322265625
2.432051658630371,2.5460236072540283,5.862046241760254
2.432051658630371,2.5460236072540283,5.862046241760254
7.7815775871276855,4.1895060539245605,8.676346778869629
7.7815775871276855,4.1895060539245605,8.676346778869629
5.408371925354004,3.5937559604644775,4.733736038208008
5.408371925354004,3.5937559604644775,4.733736038208008
7.284355163574219,3.1344308853149414,3.7884697914123535
7.284355163574219,3.1344308853149414,3.7884697914123535
5.78629732131958,2.168834686279297,3.3692023754119873
5.78629732131958,2.168834686279297,3.3692023754119873
3.659485340118408,2.8050241470336914,3.4033303260803223
3.659485340118408,2.8050241470336914,3.4033303260803223
6.899254322052002,5.152675151824951,7.781784534454346
6.899254322052002,5.152675151824951,7.781784534454346
3.4191641807556152,9.693158149719238,5.485439300537109
3.4191641807556152,9.693158149719238,5.485439300537109
6.933798789978027,4.5365447998046875,5.206198215484619
6.933798789978027,4.5365447998046875,5.206198215484619
5.87465763092041,1.3498742580413818,8.031731605529785
5.87465763092041,1.3498742580413818,8.031731605529785
2.0474767684936523,6.555388450622559,5.534911155700684
2.0474767684936523,6.555388450622559,5.534911155700684
7.409480571746826,6.665709018707275,6.609982967376709
7.409480571746826,6.665709018707275,6.609982967376709
1.3514595031738281,4.862671375274658,1.7187457084655762
1.3514595031738281,4.862671375274658,1.7187457084655762
3.3801586627960205,5.594673156738281,6.5465168952941895
3.3801586627960205,5.594673156738281,6.5465168952941895
3.0426979064941406,2.8540842533111572,2.510791301727295
3.0426979064941406,2.8540842533111572,2.510791301727295
1.2224061489105225,7.589443206787109,4.371627330780029
1.2224061489105225,7.589443206787109,4.371627330780029
8.659985542297363,8.400339126586914,5.135079860687256
8.659985542297363,8.400339126586914,5.135079860687256
5.5516462326049805,3.306670665740967,5.87835693359375
5.5516462326049805,3.306670665740967,5.87835693359375
5.039477825164795,3.3269944190979004,5.141815185546875
5.039477825164795,3.3269944190979004,5.141815185546875
2.3463964462280273,6.712193489074707,3.1495585441589355
2.3463964462280273,6.712193489074707,3.1495585441589355
3.1515634059906006,3.4078569412231445,8.485258102416992
3.1515634059906006,3.4078569412231445,8.485258102416992
6.136596202850342,2.87432599067688,9.886736869812012
6.136596202850342,2.87432599067688,9.886736869812012
5.043466567993164,4.6811747550964355,7.739911079406738
5.043466567993164,4.6811747550964355,7.739911079406738
1.5234448909759521,7.725724220275879,7.56873893737793
1.5234448909759521,7.725724220275879,7.56873893737793
5.904426574707031,1.5811198949813843,9.654532432556152
5.904426574707031,1.5811198949813843,9.654532432556152
3.9306507110595703,9.729728698730469,3.459775447845459
3.9306507110595703,9.729728698730469,3.459775447845459
8.793423652648926,9.953611373901367,4.276479721069336
8.793423652648926,9.953611373901367,4.276479721069336
3.6862640380859375,3.347435235977173,7.985737323760986
3.6862640380859375,3.347435235977173,7.985737323760986
9.260101318359375,9.642297744750977,4.224316596984863
9.260101318359375,9.642297744750977,4.224316596984863
9.631038665771484,8.804925918579102,2.700721263885498
9.631038665771484,8.804925918579102,2.700721263885498
7.55556058883667,1.3561196327209473,5.9299445152282715
7.55556058883667,1.3561196327209473,5.9299445152282715
2.7213404178619385,2.8865060806274414,8.74059009552002
2.7213404178619385,2.8865060806274414,8.74059009552002
7.995262622833252,7.551713466644287,4.936343669891357
7.995262622833252,7.551713466644287,4.936343669891357
9.557801246643066,6.739511966705322,3.373202085494995
9.557801246643066,6.739511966705322,3.373202085494995
6.514136791229248,7.835316181182861,9.1212739944458
6.514136791229248,7.835316181182861,9.1212739944458
7.162615776062012,3.070049285888672,6.844781875610352
7.162615776062012,3.070049285888672,6.844781875610352
1.973541498184204,1.071103811264038,3.572672128677368
1.973541498184204,1.071103811264038,3.572672128677368
3.3416249752044678,1.2868109941482544,1.7039545774459839
3.3416249752044678,1.2868109941482544,1.7039545774459839
5.587940692901611,8.565646171569824,5.6664581298828125
5.587940692901611,8.565646171569824,5.6664581298828125
9.864445686340332,9.915143013000488,8.101037979125977
9.864445686340332,9.915143013000488,8.101037979125977
3.6720614433288574,7.188724517822266,9.188997268676758
3.6720614433288574,7.188724517822266,9.188997268676758
4.395627021789551,5.615767955780029,2.55765962600708
4.395627021789551,5.615767955780029,2.55765962600708
6.5930094718933105,3.5441293716430664,3.830479145050049
6.5930094718933105,3.5441293716430664,3.830479145050049
9.180309295654297,7.806878089904785,4.088169574737549
9.180309295654297,7.806878089904785,4.088169574737549
1.3487317562103271,3.359447956085205,7.768868446350098
1.3487317562103271,3.359447956085205,7.768868446350098
7.842906951904297,1.1654129028320312,5.134736061096191
7.842906951904297,1.1654129028320312,5.134736061096191
2.632460594177246,8.454415321350098,4.851065635681152
2.632460594177246,8.454415321350098,4.851065635681152
5.938055992126465,8.299216270446777,1.0915290117263794
5.938055992126465,8.299216270446777,1.0915290117263794
2.71482515335083,1.0747325420379639,5.154726028442383
2.71482515335083,1.0747325420379639,5.154726028442383
4.199197292327881,6.5268449783325195,7.910900115966797
4.199197292327881,6.5268449783325195,7.910900115966797
5.1265950202941895,2.504601001739502,9.61892318725586
5.1265950202941895,2.504601001739502,9.61892318725586
6.685935974121094,4.2333550453186035,8.184186935424805
6.685935974121094,4.2333550453186035,8.184186935424805
8.724863052368164,1.0200079679489136,3.3023834228515625
8.724863052368164,1.0200079679489136,3.3023834228515625
6.072514533996582,2.273597002029419,2.237743377685547
6.072514533996582,2.273597002029419,2.237743377685547
8.978474617004395,4.797077178955078,6.099292278289795
8.978474617004395,4.797077178955078,6.099292278289795
1.4136977195739746,2.8682475090026855,2.906497001647949
1.4136977195739746,2.8682475090026855,2.906497001647949
8.293878555297852,1.7402102947235107,7.128194332122803
8.293878555297852,1.7402102947235107,7.128194332122803
1.7132019996643066,5.2798662185668945,2.325697422027588
1.7132019996643066,5.2798662185668945,2.325697422027588
1.9775488376617432,3.521226644515991,9.712333679199219
1.9775488376617432,3.521226644515991,9.712333679199219
3.315931797027588,3.897019386291504,4.581976890563965
3.315931797027588,3.897019386291504,4.581976890563965
5.124185085296631,5.772127628326416,4.061553478240967
5.124185085296631,5.772127628326416,4.061553478240967
2.9193882942199707,5.010041236877441,3.17960262298584
2.9193882942199707,5.010041236877441,3.17960262298584
6.852858543395996,4.349381446838379,1.6998414993286133
6.852858543395996,4.349381446838379,1.6998414993286133
2.639702796936035,6.891289710998535,8.012347221374512
2.639702796936035,6.891289710998535,8.012347221374512
1.132458209991455,6.637538433074951,6.912019729614258
1.132458209991455,6.637538433074951,6.912019729614258
5.179900646209717,7.761892795562744,1.350214958190918
5.179900646209717,7.761892795562744,1.350214958190918
9.606743812561035,4.841721534729004,8.784069061279297
9.606743812561035,4.841721534729004,8.784069061279297
3.2648227214813232,4.365410804748535,7.052604675292969
3.2648227214813232,4.365410804748535,7.052604675292969
2.788332939147949,6.449268817901611,6.742677688598633
2.788332939147949,6.449268817901611,6.742677688598633
1.56754469871521,2.624399185180664,9.967583656311035
1.56754469871521,2.624399185180664,9.967583656311035
3.4237606525421143,9.641722679138184,3.220092296600342
3.4237606525421143,9.641722679138184,3.220092296600342
8.823410034179688,2.446255683898926,9.82248306274414
8.823410034179688,2.446255683898926,9.82248306274414
1.8186367750167847,1.5585603713989258,6.144927978515625
1.8186367750167847,1.5585603713989258,6.144927978515625
5.093979358673096,6.320213317871094,4.599628925323486
5.093979358673096,6.320213317871094,4.599628925323486
8.787413597106934,3.4416120052337646,3.043344497680664
8.787413597106934,3.4416120052337646,3.043344497680664
9.072824478149414,3.0576610565185547,1.396403431892395
9.072824478149414,3.0576610565185547,1.396403431892395
1.1074726581573486,4.6454176902771,1.7421318292617798
1.1074726581573486,4.6454176902771,1.7421318292617798
8.594596862792969,2.415522336959839,3.0328209400177
8.594596862792969,2.415522336959839,3.0328209400177
2.7602243423461914,1.5002105236053467,9.11835765838623
2.7602243423461914,1.5002105236053467,9.11835765838623
7.966095447540283,9.222723007202148,2.061511993408203
7.966095447540283,9.222723007202148,2.061511993408203
6.205435752868652,2.851724624633789,1.9738028049468994
6.205435752868652,2.851724624633789,1.9738028049468994
